usage_date_utc,model,workspace,api_key,usage_type,token_type,cost_usd
2024-10-28,Claude 3.5 Sonnet 2024-10-22,,Stéphane,message,input_no_cache,0.00
2024-10-28,Claude 3.5 Sonnet 2024-10-22,,Stéphane,message,input_cache_write,0.08
2024-10-28,Claude 3.5 Sonnet 2024-10-22,,Stéphane,message,input_cache_read,0.07
2024-10-28,Claude 3.5 Sonnet 2024-10-22,,Stéphane,message,output,0.05
2024-10-29,Claude 3 Haiku,,,batch,input_no_cache,0.00
2024-10-29,Claude 3 Haiku,,,batch,output,0.00
2024-10-29,Claude 3.5 Sonnet 2024-10-22,,Stéphane,message,input_no_cache,0.01
2024-10-29,Claude 3.5 Sonnet 2024-10-22,,Stéphane,message,input_cache_write,4.40
2024-10-29,Claude 3.5 Sonnet 2024-10-22,,Stéphane,message,input_cache_read,6.58
2024-10-29,Claude 3.5 Sonnet 2024-10-22,,Stéphane,message,output,2.73
2024-10-29,Claude 3.5 Sonnet 2024-10-22,,,batch,input_no_cache,0.00
2024-10-29,Claude 3.5 Sonnet 2024-10-22,,,batch,output,0.00
